0.1;526133.4758754328
0.6;62.214041182131915
1.1;0.09795648199878335
1.6;38.52493757173488
2.1;589.5952090963884
2.6;2687.654822601158
3.1;7405.799779675479
3.6;15595.510003220896
4.1;27858.88472575037
4.6;44590.45561539221
5.1;66027.6237184374
5.6;92293.36208460509
6.1;123428.87748422356
6.6;159417.65719398126
7.1;200202.9135736117
7.6;245700.17613613658
8.1;295806.3738088829
8.6;350406.3908652479
9.1;409377.80131354165
9.6;472594.28640284913
10.1;539928.0970449517
10.6;611251.8178517655
11.1;686439.6209968581
11.6;765368.1435767188
12.1;847917.0899432754
12.6;933969.6283046588
13.1;1023412.6362269302
13.6;1116136.836899326
14.1;1212036.8517339546
14.6;1311011.1946509671
15.1;1412962.221694713
15.6;1517796.0528008053
16.1;1625422.469555209
16.6;1735754.7999881974
17.1;1848709.7944986764
17.6;1964207.494728526
18.1;2082171.1041648225
18.6;2202526.854989478
19.1;2325203.8784011942
19.6;2450134.077849149
20.1;2577252.003319109
20.6;2706494.7346745078
21.1;2837801.764603073
21.6;2971114.888614302
22.1;3106378.099937
22.6;3243537.4861437073
23.1;3382541.1364598875
23.6;3523339.047785137
24.1;3665883.0380921913
24.6;3810126.664288062
25.1;3956025.140702672
25.6;4103535.2685183384
26.1;4252615.362119686
26.6;4403225.182456673
27.1;4555325.873176166
27.6;4708879.900017765
28.1;4863850.994197812
28.6;5020204.094303567
29.1;5177905.299714599
29.6;5336921.817982645
30.1;5497221.918980707
30.6;5658774.890547164
31.1;5821550.997364724
31.6;5985521.436875603
32.1;6150658.307198337
32.6;6316934.566973578
33.1;6484324.001900053
33.6;6652801.19196029
34.1;6822341.480222206
34.6;6992920.9431285225
35.1;7164516.363417661
35.6;7337105.198300392
36.1;7510665.560958968
36.6;7685176.191259223
37.1;7860616.433536121
37.6;8036966.214264974
38.1;8214206.020743938
38.6;8392316.880733095
39.1;8571280.344415383
39.6;8751078.460186766
40.1;8931693.765239049
40.6;9113109.263022484
41.1;9295308.40834843
41.6;9478275.091814782
42.1;9661993.624894397
42.6;9846448.725651626
43.1;10031625.505056247
43.6;10217509.455498453
44.1;10404086.431722596
44.6;10591342.64843527
45.1;10779264.662323909
45.6;10967839.362539876
46.1;11157053.960033491
46.6;11346895.977311332
47.1;11537353.238596616
47.6;11728413.860373968
48.1;11920066.24229975
48.6;12112299.06033461
49.1;12305101.250886513
49.6;12498462.013839757
